"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A","B365>2.5","B365<2.5","B365CH","B365CD","B365CA","SourceFile"
"E0",2019-09-22,16:30:00,"Chelsea","Liverpool",1,2,"A",0,2,"A","M Oliver",13,6,2,3,8,13,6,4,3,3,0,0,3.5,3.75,2,1.57,2.37,3.2,3.75,2.1,"E0_1920.csv"
"E0",2019-09-28,12:30:00,"Sheffield United","Liverpool",0,1,"A",0,0,"D","A Taylor",12,16,2,4,8,4,6,5,1,1,0,0,9,5.25,1.33,1.61,2.3,9,5.25,1.33,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Aston Villa","Burnley",2,2,"D",1,0,"H","L Mason",16,10,3,3,10,16,7,3,1,4,0,0,2.3,3.4,3.1,1.9,1.9,2.25,3.4,3.2,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Bournemouth","West Ham",2,2,"D",1,1,"D","S Attwell",13,17,5,6,7,8,6,6,3,1,0,0,2.5,3.5,2.75,1.57,2.37,2.37,3.6,2.8,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Chelsea","Brighton",2,0,"H",0,0,"D","C Kavanagh",24,8,10,1,5,13,5,2,2,3,0,0,1.4,4.75,8,1.66,2.2,1.4,4.75,7.5,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Crystal Palace","Norwich",2,0,"H",1,0,"H","J Moss",15,10,3,3,14,10,5,5,3,1,0,0,1.9,3.75,3.75,1.72,2.1,1.9,3.75,3.75,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Tottenham","Southampton",2,1,"H",2,1,"H","G Scott",9,14,4,6,5,16,6,6,0,2,1,0,1.4,4.75,8,1.57,2.37,1.36,5.25,7.5,"E0_1920.csv"
"E0",2019-09-28,15:00:00,"Wolves","Watford",2,0,"H",1,0,"H","P Tierney",6,14,2,5,5,6,1,6,0,1,0,0,1.85,3.4,4.5,1.9,1.9,1.9,3.4,4.2,"E0_1920.csv"
"E0",2019-09-28,17:30:00,"Everton","Man City",1,3,"A",1,1,"D","M Oliver",12,20,8,9,4,8,5,2,2,2,0,0,10,5.5,1.3,1.5,2.62,8,5.5,1.33,"E0_1920.csv"
"E0",2019-09-29,16:30:00,"Leicester","Newcastle",5,0,"H",1,0,"H","C Pawson",13,3,5,0,12,9,9,0,1,1,0,1,1.5,4,7.5,2,1.8,1.5,4,7,"E0_1920.csv"
"E0",2019-09-30,20:00:00,"Man United","Arsenal",1,1,"D",1,0,"H","K Friend",16,10,4,5,18,13,8,7,4,2,0,0,2.37,3.5,2.9,1.61,2.3,2.2,3.6,3.1,"E0_1920.csv"
"E0",2019-10-05,12:30:00,"Brighton","Tottenham",3,0,"H",2,0,"H","J Moss",17,8,6,3,11,7,4,4,2,1,0,0,3.9,3.6,1.9,1.72,2.1,4.75,3.9,1.7,"E0_1920.csv"
"E0",2019-10-05,15:00:00,"Burnley","Everton",1,0,"H",0,0,"D","G Scott",9,11,3,2,5,12,7,9,2,1,0,1,2.87,3.3,2.5,2.1,1.72,3.2,3.1,2.37,"E0_1920.csv"
"E0",2019-10-05,15:00:00,"Liverpool","Leicester",2,1,"H",1,0,"H","C Kavanagh",18,2,8,1,9,17,4,6,1,4,0,0,1.44,4.75,7,1.57,2.37,1.57,4.2,5.5,"E0_1920.csv"
"E0",2019-10-05,15:00:00,"Norwich","Aston Villa",1,5,"A",0,2,"A","A Madley",21,22,5,12,14,17,10,6,1,3,0,0,2.37,3.6,2.8,1.57,2.37,2.37,3.6,2.8,"E0_1920.csv"
"E0",2019-10-05,15:00:00,"Watford","Sheffield United",0,0,"D",0,0,"D","A Marriner",8,9,2,3,7,6,7,7,0,2,0,0,2.05,3.4,3.6,2,1.8,2.3,3.2,3.25,"E0_1920.csv"
