Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,B365>2.5,B365<2.5,B365CH,B365CD,B365CA,SourceFile,imp_prob_H,imp_prob_D,imp_prob_A,total_prob,norm_prob_H,norm_prob_D,norm_prob_A,OU_2.5
E0,2019-11-09,15:00:00,Tottenham,Sheffield United,1,1,D,0,0,D,G Scott,17,14,5,4,6,9,4,4,2,2,0,0,1.57,4,6,1.8,2,1.5,4.33,6.5,E0_1920.csv,0.6369426751592356,0.25,0.16666666666666666,1.0536093418259023,0.6045340050377834,0.23727959697732998,0.15818639798488665,Under
E0,2019-11-09,17:30:00,Leicester,Arsenal,2,0,H,0,0,D,C Kavanagh,19,8,7,1,10,10,5,4,1,1,0,0,2,3.75,3.5,1.57,2.37,1.85,4,3.75,E0_1920.csv,0.5,0.26666666666666666,0.2857142857142857,1.0523809523809522,0.4751131221719458,0.2533936651583711,0.2714932126696833,Under
E0,2019-11-10,14:00:00,Man United,Brighton,3,1,H,2,0,H,J Moss,21,6,11,2,10,14,5,2,2,5,0,0,1.6,3.75,6.5,2,1.8,1.6,3.8,6,E0_1920.csv,0.625,0.26666666666666666,0.15384615384615385,1.0455128205128204,0.5977927651747396,0.25505824647455555,0.1471489883507051,Over
E0,2019-11-10,14:00:00,Wolves,Aston Villa,2,1,H,1,0,H,A Taylor,17,13,5,4,17,8,6,3,4,3,0,0,1.9,3.5,4.2,1.9,1.9,1.66,3.8,5.25,E0_1920.csv,0.5263157894736842,0.2857142857142857,0.23809523809523808,1.050125313283208,0.5011933174224343,0.2720763723150358,0.22673031026252982,Over
E0,2019-11-10,16:30:00,Liverpool,Man City,3,1,H,2,0,H,M Oliver,12,18,5,3,10,5,4,13,0,2,0,0,2.5,3.6,2.62,1.66,2.2,2.7,3.6,2.5,E0_1920.csv,0.4,0.2777777777777778,0.38167938931297707,1.0594571670907549,0.3775518373228725,0.26218877591866147,0.3602593867584661,Over
E0,2019-11-23,12:30:00,West Ham,Tottenham,2,3,A,0,2,A,M Oliver,11,15,4,6,12,14,3,7,3,2,0,0,4.2,4.33,1.7,1.53,2.5,4.5,4.33,1.66,E0_1920.csv,0.23809523809523808,0.23094688221709006,0.5882352941176471,1.0572774144299752,0.22519656132407379,0.21843546363997918,0.556367975035947,Over
E0,2019-11-23,15:00:00,Arsenal,Southampton,2,2,D,1,1,D,S Attwell,12,21,5,6,13,19,6,8,6,2,0,0,1.45,4.75,6.5,1.44,2.75,1.45,4.75,6.5,E0_1920.csv,0.6896551724137931,0.21052631578947367,0.15384615384615385,1.0540276420494208,0.6543046357615894,0.1997350993377483,0.14596026490066225,Over
E0,2019-11-23,15:00:00,Bournemouth,Wolves,1,2,A,0,2,A,S Hooper,9,17,2,7,10,12,5,9,2,1,1,0,2.75,3.3,2.6,2,1.8,2.87,3.25,2.5,E0_1920.csv,0.36363636363636365,0.30303030303030304,0.3846153846153846,1.0512820512820513,0.3458980044345898,0.28824833702882485,0.3658536585365853,Over
E0,2019-11-23,15:00:00,Brighton,Leicester,0,2,A,0,0,D,M Dean,7,19,0,9,9,1,6,7,2,0,0,0,3.75,3.5,2,1.9,1.9,3.75,3.6,1.95,E0_1920.csv,0.26666666666666666,0.2857142857142857,0.5,1.0523809523809524,0.25339366515837103,0.27149321266968324,0.4751131221719457,Under
E0,2019-11-23,15:00:00,Crystal Palace,Liverpool,1,2,A,0,0,D,K Friend,16,12,6,4,8,7,9,8,0,1,0,0,7.5,4.75,1.4,1.66,2.2,6.5,4.4,1.5,E0_1920.csv,0.13333333333333333,0.21052631578947367,0.7142857142857143,1.0581453634085212,0.12600663192799622,0.19895783988630983,0.6750355281856941,Over
E0,2019-11-23,15:00:00,Everton,Norwich,0,2,A,0,0,D,A Taylor,18,13,7,5,12,11,7,7,3,5,0,0,1.36,5.1,8,1.53,2.5,1.33,5.25,8.5,E0_1920.csv,0.7352941176470588,0.19607843137254904,0.125,1.0563725490196079,0.6960556844547563,0.18561484918793505,0.11832946635730858,Under
E0,2019-11-23,15:00:00,Watford,Burnley,0,3,A,0,0,D,P Tierney,15,11,4,5,14,13,7,5,0,3,0,0,2.3,3.4,3.1,2,1.8,2.2,3.25,3.4,E0_1920.csv,0.4347826086956522,0.29411764705882354,0.3225806451612903,1.051480900915766,0.41349548842683415,0.2797175362887407,0.3067869752844253,Over
E0,2019-11-23,17:30:00,Man City,Chelsea,2,1,H,2,1,H,M Atkinson,15,11,4,2,5,9,8,2,1,1,0,0,1.44,5,6.5,1.4,3,1.36,5.5,7,E0_1920.csv,0.6944444444444444,0.2,0.15384615384615385,1.0482905982905981,0.6624541377904607,0.1907867916836527,0.14675907052588671,Over
E0,2019-11-24,16:30:00,Sheffield United,Man United,3,3,D,1,0,H,A Marriner,12,11,8,5,13,10,6,3,1,2,0,0,3.5,3.4,2.1,2.2,1.66,3.75,3.4,2.05,E0_1920.csv,0.2857142857142857,0.29411764705882354,0.47619047619047616,1.0560224089635852,0.27055702917771884,0.2785145888594165,0.4509283819628648,Over
E0,2019-11-25,20:00:00,Aston Villa,Newcastle,2,0,H,2,0,H,L Mason,17,11,8,5,10,9,11,6,1,1,0,0,2.05,3.4,3.7,1.9,1.9,2.15,3.4,3.4,E0_1920.csv,0.48780487804878053,0.29411764705882354,0.27027027027027023,1.0521927953778742,0.4636078864934587,0.2795282845034089,0.2568638290031325,Under
E0,2019-11-30,12:30:00,Newcastle,Man City,2,2,D,1,1,D,C Kavanagh,6,24,3,9,4,6,1,10,1,2,0,0,13,8,1.16,1.44,2.75,13,8,1.16,E0_1920.csv,0.07692307692307693,0.125,0.8620689655172414,1.0639920424403184,0.07229666562792146,0.11748208164537238,0.8102212527267061,Over
E0,2019-11-30,15:00:00,Burnley,Crystal Palace,0,2,A,0,1,A,P Bankes,15,7,4,2,13,10,5,6,2,0,0,0,2.25,3.25,3.3,2.2,1.66,2,3.4,3.8,E0_1920.csv,0.4444444444444444,0.3076923076923077,0.30303030303030304,1.0551670551670551,0.4212076583210604,0.2916053019145803,0.2871870397643594,Under
E0,2019-11-30,15:00:00,Chelsea,West Ham,0,1,A,0,0,D,J Moss,19,5,6,4,0,16,9,3,0,3,0,0,1.28,6,9,1.4,3,1.25,6.5,10,E0_1920.csv,0.78125,0.16666666666666666,0.1111111111111111,1.0590277777777777,0.7377049180327869,0.15737704918032788,0.10491803278688525,Under
E0,2019-11-30,15:00:00,Liverpool,Brighton,2,1,H,2,0,H,M Atkinson,15,12,7,5,3,10,4,5,0,0,1,0,1.18,7,15,1.44,2.75,1.18,7,16,E0_1920.csv,0.8474576271186441,0.14285714285714285,0.06666666666666667,1.0569814366424537,0.8017715332926084,0.13515577275503968,0.06307269395235185,Over
E0,2019-11-30,15:00:00,Tottenham,Bournemouth,3,2,H,1,0,H,L Mason,15,20,5,6,10,12,4,8,0,2,0,0,1.36,5.5,7.5,1.53,2.5,1.28,5.75,9.5,E0_1920.csv,0.7352941176470588,0.18181818181818182,0.13333333333333333,1.0504456327985738,0.6999830307144069,0.17308671304938064,0.12693025623621246,Over
E0,2019-11-30,17:30:00,Southampton,Watford,2,1,H,0,1,A,M Oliver,11,6,6,3,6,10,6,7,1,0,0,0,2.1,3.4,3.5,1.9,1.9,2.05,3.6,3.5,E0_1920.csv,0.47619047619047616,0.29411764705882354,0.2857142857142857,1.0560224089635852,0.4509283819628648,0.2785145888594165,0.27055702917771884,Over
